timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763232090855,312,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-1,text,true,,3996,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1763232091168,309,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-1,text,true,,4361,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232091477,376,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-1,text,true,,4726,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232091854,344,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-1,text,true,,5091,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232091037,1565,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-2,text,true,,3631,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232092051,884,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-3,text,true,,3631,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232092602,438,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-2,text,true,,3996,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232092936,323,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-3,text,true,,3996,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232093040,321,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-2,text,true,,4361,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232093259,313,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-3,text,true,,4361,0,4,4,https://dev-finance.netlify.app/#,0,0,0
1763232093361,341,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-2,text,true,,4726,0,4,4,https://dev-finance.netlify.app/#,0,0,0
1763232093115,850,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-4,text,true,,3631,0,4,4,https://dev-finance.netlify.app/#,0,0,0
1763232093572,459,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-3,text,true,,4726,0,4,4,https://dev-finance.netlify.app/#,0,0,0
1763232093702,415,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-2,text,true,,5091,0,4,4,https://dev-finance.netlify.app/#,0,0,0
1763232093965,355,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-4,text,true,,3996,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232094031,346,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-3,text,true,,5091,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232094321,319,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-4,text,true,,4361,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232094132,873,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-5,text,true,,3631,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232094640,389,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-4,text,true,,4726,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232095005,320,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-5,text,true,,3996,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232095029,304,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-4,text,true,,5091,0,3,3,https://dev-finance.netlify.app/#,0,0,0
